ts,solar,wind,cons,market,spot
2019-01-03 13:00:00+00:00,3626.0,11921.3881,65450.0,66.1816630878069,65.24
2019-01-03 14:00:00+00:00,1540.0,11428.8586,65202.0,65.72702312027917,67.76
2019-01-03 15:00:00+00:00,104.0,11043.6718,66412.0,66.00638745335925,68.41
2019-01-03 16:00:00+00:00,0.0,10383.0184,69141.0,66.25991163541771,69.55
2019-01-03 17:00:00+00:00,0.0,9819.694,68929.0,65.67894667832188,67.28
2019-01-03 18:00:00+00:00,0.0,9341.6613,67538.0,65.08783487354557,69.46
2019-01-03 19:00:00+00:00,0.0,8928.7944,63388.0,66.48633835764592,68.38
2019-01-03 20:00:00+00:00,0.0,8558.6228,60522.0,61.85387742102105,61.72
2019-01-03 21:00:00+00:00,0.0,8214.4988,58546.0,57.30207353467855,53.72
2019-01-03 22:00:00+00:00,0.0,8346.4501,54676.0,52.72912547875252,49.98
2019-01-03 23:00:00+00:00,0.0,9253.7356,51449.0,51.268927237264165,50.73
2019-01-04 00:00:00+00:00,0.0,9872.7582,49334.0,50.3839698390646,47.11
2019-01-04 01:00:00+00:00,0.0,10569.1059,48416.0,49.78596166187684,47.07
2019-01-04 02:00:00+00:00,0.0,11307.8358,48544.0,47.43146728296363,46.94
2019-01-04 03:00:00+00:00,0.0,12048.1254,49519.0,48.3661337792643,47.0
2019-01-04 04:00:00+00:00,0.0,13206.5601,51776.0,49.66441934671278,46.91
2019-01-04 05:00:00+00:00,0.0,14484.9873,56904.0,54.60662909484465,49.59
2019-01-04 06:00:00+00:00,0.0,15860.0051,62243.0,53.90446594545188,55.32
2019-01-04 07:00:00+00:00,114.0,17287.9009,65469.0,53.73662630125347,55.78
2019-01-04 08:00:00+00:00,1101.0,18717.9237,66388.0,53.015857405730685,55.52
2019-01-04 09:00:00+00:00,2153.0,20109.7454,67069.0,52.42826767503169,55.23
2019-01-04 10:00:00+00:00,2818.0,20658.1866,67749.0,54.73883249532155,53.58
2019-01-04 11:00:00+00:00,2971.0,21194.8262,67517.0,51.50339649551768,51.74
2019-01-04 12:00:00+00:00,2600.0,21746.1767,66103.0,48.198808839280815,51.6
2019-01-04 13:00:00+00:00,1797.0,22344.6439,64619.0,49.41890494679314,51.41
2019-01-04 14:00:00+00:00,784.0,23015.9363,64068.0,50.806155555555605,51.69
2019-01-04 15:00:00+00:00,55.0,23766.5649,64704.0,52.78979834877093,52.59
2019-01-04 16:00:00+00:00,0.0,24092.0907,67329.0,58.05437795433997,54.66
2019-01-04 17:00:00+00:00,0.0,24446.3889,66879.0,55.50771151319116,54.1
2019-01-04 18:00:00+00:00,0.0,24756.5127,65111.0,49.06550444726815,51.89
2019-01-04 19:00:00+00:00,0.0,24957.9444,60767.0,47.65532878884621,46.58
2019-01-04 20:00:00+00:00,0.0,25012.2846,57825.0,48.37455465934445,45.43
2019-01-04 21:00:00+00:00,0.0,24919.6112,56111.0,48.35805815728494,43.96
2019-01-04 22:00:00+00:00,0.0,25452.4996,52530.0,39.444048466450376,31.41
2019-01-04 23:00:00+00:00,0.0,26472.4203,49121.0,34.823936986193615,26.9
